query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,DESKTOP,usa,0,5,0.0,7.4,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,MOBILE,usa,0,2,0.0,12.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,0,3,0.0,11.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,MOBILE,usa,0,1,0.0,11.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table?variant=45934517322027,DESKTOP,usa,0,1,0.0,6.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517322027
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939,DESKTOP,usa,0,1,0.0,7.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939
scandinavian modern dining table,https://moderncre8ve.com/products/scandinavian-oval-dining-table-mar-vista,DESKTOP,usa,0,4,0.0,11.2,2026-03-01,2026-03-08,/products/scandinavian-oval-dining-table-mar-vista
scandinavian modern furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,4,0.0,12.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian modern furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,1,0.0,9.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian modern furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,DESKTOP,usa,0,1,0.0,11.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,0,1,0.0,13.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern furniture characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,bra,0,3,0.0,6.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern furniture characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,fra,0,1,0.0,6.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern furniture characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,pol,0,1,0.0,6.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
scandinavian modern furniture characteristics,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,tur,0,1,0.0,7.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
