query,page,device,country,clicks,impressions,ctr,position,date_start,date_end,page_path
modern cre8ve,https://moderncre8ve.com/,DESKTOP,usa,6,16,0.375,1.1,2026-03-01,2026-03-08,/
moderncre8ve,https://moderncre8ve.com/,MOBILE,usa,5,13,0.3846,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,MOBILE,usa,4,9,0.4444,4.7,2026-03-01,2026-03-08,/
mid century modern dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,3,205,0.0146,9.4,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mid century modern dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,3,319,0.0094,9.2,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
moderncre8ve,https://moderncre8ve.com/,DESKTOP,usa,3,5,0.6,1.0,2026-03-01,2026-03-08,/
japandi mcm,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,MOBILE,usa,2,3,0.6667,4.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
modern cre8tive,https://moderncre8ve.com/,MOBILE,usa,2,5,0.4,1.0,2026-03-01,2026-03-08,/
scandinavian furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,2,262,0.0076,16.4,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,1,12,0.0833,2.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
best scandinavian furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,1,6,0.1667,5.7,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
boho bedframe,https://moderncre8ve.com/products/van-aiken-boho-bed-fram?variant=45605065752875,MOBILE,usa,1,10,0.1,2.9,2026-03-01,2026-03-08,/products/van-aiken-boho-bed-fram?variant=45605065752875
cleveland custom cabinets,https://moderncre8ve.com/pages/custom-kitchen-cabinets-cleveland,DESKTOP,usa,1,3,0.3333,3.0,2026-03-01,2026-03-08,/pages/custom-kitchen-cabinets-cleveland
cleveland modern furniture,https://moderncre8ve.com/collections/all-products,MOBILE,usa,1,6,0.1667,13.3,2026-03-01,2026-03-08,/collections/all-products
custom extension dining table,https://moderncre8ve.com/collections/custom-made-expandable-dining-tables,DESKTOP,usa,1,1,1.0,3.0,2026-03-01,2026-03-08,/collections/custom-made-expandable-dining-tables
danish dining table extendable,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,1,3,0.3333,3.3,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
dining table mid century modern,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,12,0.0833,12.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
handmade furniture near me,https://moderncre8ve.com/,MOBILE,usa,1,1,1.0,9.0,2026-03-01,2026-03-08,/
japandi mid century modern,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,MOBILE,lux,1,1,1.0,9.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
japandi table and chairs,https://moderncre8ve.com/collections/japandi,MOBILE,usa,1,1,1.0,41.0,2026-03-01,2026-03-08,/collections/japandi
mcm dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,84,0.0119,8.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mcm dining table extendable,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,1,6,0.1667,7.3,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
mcm style couches,https://moderncre8ve.com/,MOBILE,usa,1,1,1.0,4.0,2026-03-01,2026-03-08,/
mid century japandi,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,DESKTOP,usa,1,2,0.5,2.5,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
mid century modern coffee table solid wood,https://moderncre8ve.com/collections/mid-century-modern-coffee-tables,MOBILE,usa,1,2,0.5,11.5,2026-03-01,2026-03-08,/collections/mid-century-modern-coffee-tables
mid century modern vs scandinavian,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,1,1,1.0,3.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
mid century scandinavian furniture,https://moderncre8ve.com/collections/all-products,MOBILE,usa,1,1,1.0,11.0,2026-03-01,2026-03-08,/collections/all-products
mid century scandinavian style,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained,MOBILE,usa,1,6,0.1667,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandi-modern-furniture-style-differences-explained
mid modern century furniture,https://moderncre8ve.com/,MOBILE,usa,1,3,0.3333,1.7,2026-03-01,2026-03-08,/
midcentury japandi,https://moderncre8ve.com/collections/japandi-scandi-mid-century-modern-furniture,DESKTOP,usa,1,1,1.0,2.0,2026-03-01,2026-03-08,/collections/japandi-scandi-mid-century-modern-furniture
modern cre8tive,https://moderncre8ve.com/,DESKTOP,usa,1,4,0.25,1.0,2026-03-01,2026-03-08,/
modern cre8tive,https://moderncre8ve.com/,MOBILE,jpn,1,1,1.0,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,DESKTOP,twn,1,1,1.0,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/,MOBILE,col,1,1,1.0,1.0,2026-03-01,2026-03-08,/
modern cre8ve,https://moderncre8ve.com/collections/all-products,DESKTOP,usa,1,12,0.0833,1.0,2026-03-01,2026-03-08,/collections/all-products
modern extendable dining table,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,1,24,0.0417,10.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
modern mid century dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,3,0.3333,4.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
moderncre8ve,https://moderncre8ve.com/collections/all-products,DESKTOP,usa,1,4,0.25,1.0,2026-03-01,2026-03-08,/collections/all-products
nordic furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,tur,1,2,0.5,16.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
personalized furniture,https://moderncre8ve.com/collections/custom-made-furniture,DESKTOP,usa,1,5,0.2,21.2,2026-03-01,2026-03-08,/collections/custom-made-furniture
round extendable dining table seats 8,https://moderncre8ve.com/products/modern-round-extendable-dining-table-ohio,DESKTOP,usa,1,34,0.0294,6.5,2026-03-01,2026-03-08,/products/modern-round-extendable-dining-table-ohio
scandanavian design furniture,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,usa,1,3,0.3333,10.7,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
scandinavia furniture store,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,1,8,0.125,13.8,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian bed frame king,https://moderncre8ve.com/products/upton-handmade-scandinavian-inspired-bed-frame,MOBILE,usa,1,5,0.2,9.2,2026-03-01,2026-03-08,/products/upton-handmade-scandinavian-inspired-bed-frame
scandinavian dining table and chairs,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,1,2,0.5,10.5,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian dining table extendable,https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table,DESKTOP,usa,1,12,0.0833,6.6,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table
scandinavian furniture stores,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,1,5,0.2,12.8,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
scandinavian modern,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,DESKTOP,twn,1,1,1.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
scandinavian sofa brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,1,2,0.5,6.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
small mid century modern dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,1,8,0.125,8.9,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
small round extendable dining table,https://moderncre8ve.com/products/modern-round-extendable-dining-table-ohio,DESKTOP,usa,1,5,0.2,8.8,2026-03-01,2026-03-08,/products/modern-round-extendable-dining-table-ohio
sputnik furniture,https://moderncre8ve.com/products/sputnik-mid-century-dining-set,DESKTOP,usa,1,3,0.3333,10.0,2026-03-01,2026-03-08,/products/sputnik-mid-century-dining-set
swedish furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,1,17,0.0588,12.4,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
swedish furniture,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,1,13,0.0769,11.4,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
walnut dining table mid century modern,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,DESKTOP,usa,1,6,0.1667,6.0,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
walnut mid century dining table,https://moderncre8ve.com/collections/mid-century-modern-dining-tables,MOBILE,usa,1,10,0.1,6.3,2026-03-01,2026-03-08,/collections/mid-century-modern-dining-tables
"""55"" ""scandinavian dining table"" ""us"" ""2"" ""1500"" ""0.70"" ""0.78"" ""scandinavian dining table"" ""2023-09-11 07:12:57"" ""image pack",https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939,DESKTOP,usa,0,1,0.0,6.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939
"""55"" ""scandinavian dining table"" ""us"" ""2"" ""1500"" ""0.70"" ""0.78"" ""scandinavian dining table"" ""2023-09-11 07:12:57"" ""image pack",https://moderncre8ve.com/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939,MOBILE,usa,0,1,0.0,6.0,2026-03-01,2026-03-08,/products/scandinavian-dining-table-extendable-dining-table?variant=45934517616939
"""76"" ""mid century extendable dining table"" ""us"" ""2"" ""200"" ""1.20"" """" ""mid century dining table"" ""2023-08-09 04:11:26"" ""shopping results",https://moderncre8ve.com/products/mid-century-modern-extendable-dining-table-santa-monica,DESKTOP,usa,0,1,0.0,12.0,2026-03-01,2026-03-08,/products/mid-century-modern-extendable-dining-table-santa-monica
#customcabinets,https://moderncre8ve.com/pages/custom-kitchen-cabinets-cleveland,DESKTOP,usa,0,3,0.0,15.0,2026-03-01,2026-03-08,/pages/custom-kitchen-cabinets-cleveland
#scandinaviandesign,https://moderncre8ve.com/collections/scandinavian-design-furniture,DESKTOP,bra,0,1,0.0,21.0,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,irl,0,1,0.0,14.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,4,0.0,27.8,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,are,0,1,0.0,13.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,bgd,0,1,0.0,19.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,bol,0,1,0.0,15.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,bra,0,4,0.0,20.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,can,0,2,0.0,15.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,chl,0,2,0.0,17.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,col,0,1,0.0,26.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,dza,0,1,0.0,19.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,fra,0,1,0.0,13.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,gbr,0,1,0.0,17.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,grc,0,1,0.0,22.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,idn,0,4,0.0,18.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,ind,0,2,0.0,13.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,irq,0,2,0.0,18.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,ken,0,1,0.0,17.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,lby,0,1,0.0,19.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,mar,0,2,0.0,16.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,pan,0,1,0.0,19.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,sau,0,1,0.0,16.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,tun,0,1,0.0,20.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,tur,0,2,0.0,18.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,8,0.0,19.5,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,zaf,0,1,0.0,23.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,DESKTOP,usa,0,1,0.0,22.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,bgd,0,1,0.0,39.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,bra,0,4,0.0,36.8,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,can,0,1,0.0,34.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,chl,0,1,0.0,40.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,col,0,1,0.0,37.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,dza,0,1,0.0,37.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,fra,0,1,0.0,38.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,gbr,0,1,0.0,29.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,grc,0,1,0.0,38.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,idn,0,4,0.0,29.5,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,ind,0,1,0.0,26.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,irq,0,2,0.0,30.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,ken,0,1,0.0,29.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,lby,0,1,0.0,28.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,mar,0,1,0.0,28.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,pan,0,1,0.0,28.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,tun,0,1,0.0,30.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,tur,0,1,0.0,29.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,usa,0,5,0.0,36.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/all-products,MOBILE,zaf,0,1,0.0,39.0,2026-03-01,2026-03-08,/collections/all-products
+scandinavian +furniture,https://moderncre8ve.com/collections/scandinavian-design-furniture,MOBILE,usa,0,2,0.0,40.5,2026-03-01,2026-03-08,/collections/scandinavian-design-furniture
20th-century scandinavian design,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design,DESKTOP,usa,0,4,0.0,15.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/scandinavian-modern-design
366 concept furniture,https://moderncre8ve.com/,DESKTOP,usa,0,1,0.0,12.0,2026-03-01,2026-03-08,/
4 to 8 extendable dining table,https://moderncre8ve.com/collections/custom-made-expandable-dining-tables,DESKTOP,usa,0,1,0.0,49.0,2026-03-01,2026-03-08,/collections/custom-made-expandable-dining-tables
6 in 1 extendable dining table,https://moderncre8ve.com/products/payne-oval-extendable-dining-table-for-6-8,DESKTOP,usa,0,1,0.0,38.0,2026-03-01,2026-03-08,/products/payne-oval-extendable-dining-table-for-6-8
6 seat oval dining table,https://moderncre8ve.com/products/payne-oval-extendable-dining-table-for-6-8,DESKTOP,usa,0,2,0.0,23.0,2026-03-01,2026-03-08,/products/payne-oval-extendable-dining-table-for-6-8
8' round dining table,https://moderncre8ve.com/products/modern-round-extendable-dining-table-ohio,DESKTOP,usa,0,1,0.0,56.0,2026-03-01,2026-03-08,/products/modern-round-extendable-dining-table-ohio
888 furniture,https://moderncre8ve.com/,DESKTOP,usa,0,1,0.0,46.0,2026-03-01,2026-03-08,/
90cm round extending dining table,https://moderncre8ve.com/products/modern-round-extendable-dining-table-ohio,DESKTOP,usa,0,1,0.0,29.0,2026-03-01,2026-03-08,/products/modern-round-extendable-dining-table-ohio
adjustable dining room table,https://moderncre8ve.com/collections/custom-made-expandable-dining-tables,DESKTOP,usa,0,1,0.0,52.0,2026-03-01,2026-03-08,/collections/custom-made-expandable-dining-tables
aesthetic dining table,https://moderncre8ve.com/products/scandinavian-danish-modern-dining-table,DESKTOP,phl,0,1,0.0,26.0,2026-03-01,2026-03-08,/products/scandinavian-danish-modern-dining-table
affordable custom cabinetry,https://moderncre8ve.com/pages/custom-kitchen-cabinets-cleveland,DESKTOP,usa,0,1,0.0,80.0,2026-03-01,2026-03-08,/pages/custom-kitchen-cabinets-cleveland
affordable custom furniture,https://moderncre8ve.com/collections/custom-made-furniture,DESKTOP,usa,0,1,0.0,23.0,2026-03-01,2026-03-08,/collections/custom-made-furniture
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,cze,0,1,0.0,12.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,dnk,0,1,0.0,14.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,3,0.0,5.7,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,gbr,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,geo,0,1,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable danish furniture brands,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,usa,0,2,0.0,1.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable modern scandinavian furniture retailers,https://moderncre8ve.com/EN-CA/articles/best-scandinavian-furniture-online,DESKTOP,usa,0,1,0.0,8.0,2026-03-01,2026-03-08,/EN-CA/articles/best-scandinavian-furniture-online
affordable modern scandinavian furniture retailers,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,usa,0,12,0.0,6.2,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian decor,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,DESKTOP,gbr,0,23,0.0,35.1,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian decor,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,esp,0,1,0.0,39.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian decor,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,gbr,0,41,0.0,37.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
affordable scandinavian decor,https://moderncre8ve.com/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online,MOBILE,lka,0,1,0.0,27.0,2026-03-01,2026-03-08,/blogs/mid-century-modern-scandi-japandi-design-blog/best-scandinavian-furniture-online
